Object_ID,Area,Centroid_X,Centroid_Y,Aspect_Ratio,Average_Color,Label
76,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
77,14.0,1318,1073,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
78,1577.0,429,1093,2.022727272727273,[13.1846136  53.98857672 91.91496251],Matched Object
79,52.5,563,1069,1.5555555555555556,[13.1846136  53.98857672 91.91496251],Matched Object
80,77.0,1010,1064,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
81,0.5,1150,1050,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
82,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
83,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
84,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
85,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
86,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
87,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
88,3.5,632,1032,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
89,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
90,640.5,510,1047,1.1142857142857143,[13.1846136  53.98857672 91.91496251],Matched Object
91,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
92,1.0,476,1024,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
93,0.5,1328,1019,0.4,[13.1846136  53.98857672 91.91496251],Matched Object
94,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
95,1.0,480,1020,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
96,12.5,605,1020,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
97,12.5,610,1010,1.2,[13.1846136  53.98857672 91.91496251],Matched Object
98,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
99,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
100,0.5,973,990,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
101,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
102,11.5,1325,989,0.21428571428571427,[13.1846136  53.98857672 91.91496251],Matched Object
103,5.0,488,984,0.6,[13.1846136  53.98857672 91.91496251],Matched Object
104,2925.5,383,1015,1.8596491228070176,[13.1846136  53.98857672 91.91496251],Matched Object
105,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
106,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
107,12.5,645,978,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
108,0.0,0,0,0.16666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
109,19.0,613,967,2.75,[13.1846136  53.98857672 91.91496251],Matched Object
110,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
111,2.5,109,963,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
112,16.5,1212,962,0.8333333333333334,[13.1846136  53.98857672 91.91496251],Matched Object
113,7.5,1209,965,0.9,[13.1846136  53.98857672 91.91496251],Matched Object
114,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
115,827.5,515,981,0.6724137931034483,[13.1846136  53.98857672 91.91496251],Matched Object
116,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
117,222.0,1123,976,0.5454545454545454,[13.1846136  53.98857672 91.91496251],Matched Object
118,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
119,18.5,1106,957,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
120,9.0,509,956,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
121,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
122,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
123,13.5,1202,946,1.25,[13.1846136  53.98857672 91.91496251],Matched Object
124,42.0,759,947,0.8888888888888888,[13.1846136  53.98857672 91.91496251],Matched Object
125,3.5,432,941,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
